NAME,YEAR,MONTH,DAY
New Year's Day,2019,1,1
Family Day,2019,2,18
Good Friday,2019,4,19
Victoria Day,2019,5,20
Canada Day,2019,7,1
B.C. Day,2019,8,5
Labour Day,2019,9,2
Thanksgiving Day,2019,10,14
Remembrance Day,2019,11,11
Christmas Day,2019,12,25
New Year's Day,2018,1,1
Family Day,2018,2,12
Good Friday,2018,3,30
Victoria Day,2018,5,21
Canada Day,2018,7,2
B.C. Day,2018,8,6
Labour Day,2018,9,3
Thanksgiving Day,2018,10,8
Remembrance Day,2018,11,11
Christmas Day,2018,12,25
New Year's Day,2017,1,1
Family Day,2017,2,13
Good Friday,2017,4,14
Victoria Day,2017,5,22
Canada Day,2017,7,1
B.C. Day,2017,8,7
Labour Day,2017,9,4
Thanksgiving Day,2017,10,9
Remembrance Day,2017,11,11
Christmas Day,2017,12,25
New Year's Day,2016,1,1
Family Day,2016,2,8
Good Friday,2016,3,25
Victoria Day,2016,5,23
Canada Day,2016,7,1
B.C. Day,2016,8,1
Labour Day,2016,9,5
Thanksgiving Day,2016,10,10
Remembrance Day,2016,11,11
Christmas Day,2016,12,25
New Year's Day,2015,1,1
Family Day,2015,2,9
Good Friday,2015,4,3
Victoria Day,2015,5,18
Canada Day,2015,7,1
B.C. Day,2015,8,3
Labour Day,2015,9,7
Thanksgiving Day,2015,10,12
Remembrance Day,2015,11,11
Christmas Day,2015,12,25
